Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,246,24719,34,34,0,0,24965,42001,0,0,41,47,11755,0,112,0,0
Node1,160,274,308,551,29660,49717,434,823,29660,49593,36,44,9143,0,18,0,0
Node2,72,284,145,207,268,487,356,599,268,426,31,40,139,0,39,0,0
Node3,43,266,120,185,283,456,309,482,283,387,29,37,93,0,39,0,0
Node4,56,245,112,162,243,368,301,444,243,335,20,33,61,0,41,0,0
Node5,40,267,122,163,213,302,307,410,213,276,12,27,47,0,43,0,0
Node6,21,262,50,67,294,392,283,379,294,376,10,24,37,0,42,0,0
Node7,17,356,37,54,284,378,373,528,284,366,0,0,28,0,64,0,0
Node8,0,0,19,40,399,548,0,0,399,536,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
