Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.1-2001.1,61,12,0.19672131147540983,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2001.1-2002.1,61,3,0.04918032786885246,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2002.1-2003.1,61,6,0.09836065573770492,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2003.1-2004.1,61,18,0.29508196721311475,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2004.1-2005.1,61,19,0.3114754098360656,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2005.1-2006.1,61,48,0.7868852459016393,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_1Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
