Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,138,818,15,15,0,0,956,1399,0,0,1169,1800,0,0,210,0,0
Node1,145,561,703,1046,1184,1947,706,1163,1184,1816,1033,1771,105,0,98,0,0
Node2,85,532,430,766,1041,1902,617,1051,1041,1779,1033,1770,0,0,21,0,0
Node3,67,459,422,772,1033,1889,526,841,1033,1770,1043,1768,0,0,14,0,0
Node4,56,458,361,600,1060,1892,514,809,1060,1799,1051,1766,0,0,14,0,0
Node5,30,50,390,626,1071,1877,80,124,1071,1798,1041,1764,0,0,14,0,0
Node6,3,51,49,58,1076,1819,54,86,1076,1815,1034,1762,0,0,14,0,0
Node7,1,35,38,46,1073,1825,36,51,1073,1824,1029,1760,0,0,14,0,0
Node8,0,0,9,17,1056,1794,0,0,1056,1794,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
