Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,66,389,2,2,0,0,455,707,0,0,24097,24393,0,0,8,0,0
Node1,328,963,289,426,24099,24494,1291,1831,24099,24396,249,415,23931,0,49,0,0
Node2,192,485,334,452,1355,1838,677,1195,1355,1747,137,325,731,0,67,0,0
Node3,206,568,197,295,757,1291,774,1168,757,1205,17,51,672,0,61,0,0
Node4,99,458,493,616,468,689,557,780,468,644,0,0,329,0,65,0,0
Node5,80,276,285,351,396,519,356,570,396,488,5,12,164,0,50,0,0
Node6,34,325,88,108,313,471,359,560,313,441,0,0,82,0,59,0,0
Node7,22,268,46,66,358,531,290,423,358,510,8,18,38,0,45,0,0
Node8,0,0,17,27,312,442,0,0,312,432,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
