Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,86,4107,1,1,0,0,4193,4207,0,0,197,307,8169,0,91,0,0
Node1,38,83,86,96,5376,5488,121,121,5376,5488,0,0,12649,0,91,0,0
Node2,25,80,46,46,48,48,105,105,48,48,0,0,0,0,105,0,0
Node3,23,82,34,34,54,54,105,105,54,54,0,0,0,0,105,0,0
Node4,22,83,36,36,61,61,105,105,61,61,0,0,0,0,105,0,0
Node5,22,83,18,18,74,74,105,105,74,74,0,0,0,0,105,0,0
Node6,9,89,42,42,59,59,98,98,59,59,0,0,0,0,98,0,0
Node7,1,97,7,7,98,98,98,98,98,98,0,0,0,0,98,0,0
Node8,0,0,2,2,109,109,0,0,109,109,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
