Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,352,1447,3,3,0,0,1799,2037,0,0,134,341,176,0,364,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,53,184,384,415,1402,1668,237,379,1402,1633,282,546,36,0,68,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,252,1272,107,119,369,663,1524,2126,369,657,115,138,742,0,114,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,90,557,112,182,1461,1964,647,733,1461,1949,193,297,398,0,62,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,232,298,643,773,0,0,643,767,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
