Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,912,1890,31,31,0,0,2802,4224,0,0,424,1076,2204,0,656,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,51,214,928,1211,1792,2971,265,503,1792,2792,677,1560,372,0,136,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,187,1662,496,534,761,1705,1849,2178,761,1680,246,590,3760,0,212,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,45,513,330,407,2258,2865,558,725,2258,2839,673,1110,692,0,248,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,152,245,1112,1649,0,0,1112,1634,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
