File Path,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP),Flow_ID
/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs_adaptive_3Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv,1,1831,558,0.3047515019115238,2.7193146612903227,8936,8384,8.0,1.0,1.0,0,2093,0,461,0,0,0,Flow_Node0-Node8
Mean,,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,,,,,,,
Median,,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,,,,,,,
95% CI Lower,,,,,,,,,,,,,,,,,,
95% CI Upper,,,,,,,,,,,,,,,,,,
