File Path,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP),Flow_ID
/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv,1,610,187,0.30655737704918035,1.8410197379679145,7226,74,4.0,1.0,1.0,0,908,0,634,0,0,0,Flow_Node0-Node8
Mean,,610.0,187.0,0.30655737704918035,1.8410197379679145,7226.0,74.0,4.0,1.0,1.0,0.0,,,,,,,
Median,,610.0,187.0,0.30655737704918035,1.8410197379679145,7226.0,74.0,4.0,1.0,1.0,0.0,,,,,,,
95% CI Lower,,,,,,,,,,,,,,,,,,
95% CI Upper,,,,,,,,,,,,,,,,,,
