Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,524,1632,17,17,0,0,2156,2710,0,0,305,720,1053,0,453,0,0
Node1,59,235,754,974,1442,2038,294,594,1442,1991,459,989,78,0,144,0,0
Node2,492,1265,175,338,517,1115,1757,2250,517,1081,156,328,1851,0,210,0,0
Node3,33,118,659,824,1203,1580,151,284,1203,1541,456,690,336,0,87,0,0
Node4,162,432,110,162,514,793,594,680,514,777,260,490,588,0,63,0,0
Node5,6,127,223,276,633,883,133,243,633,880,382,601,72,0,84,0,0
Node6,7,392,124,210,453,713,399,494,453,701,255,470,378,0,72,0,0
Node7,0,88,111,164,663,925,88,161,663,920,318,534,120,0,37,0,0
Node8,0,0,44,116,379,607,0,0,379,606,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
