Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,705,1283,32,32,0,0,1988,3267,0,0,499,1395,441,0,867,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,510,832,404,547,1419,2860,1342,1821,1419,2752,355,988,2052,0,237,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,202,1406,461,550,1161,1914,1608,2255,1161,1895,248,501,2742,0,208,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,21,190,352,426,1843,2711,211,370,1843,2660,611,1020,462,0,150,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,54,112,770,1294,0,0,770,1278,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
