Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000016392412_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.016392,2000.016462,inf,0,7,2343.0,0.007663753805745297,0.007663753805745297,1.664145,inf,22,22
2000032790479_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.03279,2000.049456,inf,1,7,2327.5,"0.015291241504138024,0.007663753805745297",0.011477,1.664145,inf,22,22
2000049186319_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.049186,2000.049456,inf,1,7,2327.5,"0.015291241504138024,0.007663753805745297",0.011477,1.664145,inf,22,22
2000065577449_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.065577,2000.065907,inf,2,7,2343.0,"0.015291241504138024,0.015291241504138024,0.007663753805745297",0.012749,1.664145,inf,22,22
2000081972652_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.081973,2000.082163,inf,2,7,2343.0,"0.015291241504138024,0.015291241504138024,0.007663753805745297",0.012749,1.664145,inf,22,22
2000098365401_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.098365,2000.098595,inf,3,9,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.013384,1.664145,inf,22,22
2000114757572_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.114758,2000.114848,inf,3,8,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.013384,1.664145,inf,22,22
2000131149977_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.13115,2000.13146,inf,4,9,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.013766,1.664145,inf,22,22
2000147548311_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.147548,2000.147718,inf,4,8,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.013766,1.664145,inf,22,22
2000163946007_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.163946,2000.163996,inf,5,9,2343.0,"0.021652952277363968,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.01508,1.664145,inf,22,22
2000180335689_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.180336,2000.180386,inf,5,7,2343.0,"0.021652952277363968,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.01508,1.664145,inf,22,22
2000196728125_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.196728,2000.196958,inf,6,7,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.014202,1.664145,inf,22,22
2000213122285_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.213122,2000.213312,inf,6,7,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.007663753805745297",0.014202,1.664145,inf,22,22
2000229512650_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.229513,2000.229603,inf,7,7,2343.0,"0.01811866851446067,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.007663753805745297",0.015088,1.664145,inf,22,22
2000245906699_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.245907,2000.246137,inf,7,7,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.007663753805745297",0.014734,1.664145,inf,22,22
2000262301142_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.262301,2000.262651,0.214212,8,0,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.016701610050220313,0.015291241504138024,0.015291241504138024",0.015468,3.320415,3.320415,22,22
2000278694827_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.278695,2000.278745,0.197818,8,2,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.016701610050220313,0.015291241504138024,0.015291241504138024",0.015468,3.320415,3.320415,22,22
2000295083365_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.295083,2000.295193,0.183321,8,0,2343.0,"0.015291241504138024,0.01811866851446067,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.015291241504138024,0.015291241504138024",0.016041,3.320415,3.320415,22,22
2000311481011_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.311481,2000.311711,0.166923,8,0,2343.0,"0.015291241504138024,0.01811866851446067,0.021652952277363968,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.015291241504138024,0.015291241504138024",0.016837,3.320415,3.320415,22,22
2000327872297_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.327872,2000.327962,0.152652,8,5,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.015291241504138024,0.016084573811309313",0.015787,1.658241,3.492683,22,22
2000344269191_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.344269,2000.344599,0.136255,8,1,2343.0,"0.016309115227854176,0.020932715688467187,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.016084573811309313",0.016223,3.320415,3.492683,22,22
2000360667607_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.360668,2000.360978,0.121956,8,0,2343.0,"0.016309115227854176,0.015291241504138024,0.015291241504138024,0.021652952277363968,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.016701610050220313",0.01639,3.320415,3.626669,22,22
2000377062792_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.377063,2000.377293,0.105561,8,0,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.016701610050220313",0.015468,3.320415,3.626669,22,22
2000393459490_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.393459,2000.393549,0.091305,8,2,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177,0.018464570732823177",0.016085,3.320415,4.009487,22,22
2000409853418_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.409853,2000.410003,0.074911,8,3,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.018464570732823177",0.015688,1.814332,4.009487,22,22
2000426242086_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.426242,2000.426592,0.060522,8,0,2343.0,"0.017322172210496523,0.018464570732823177,0.01688166919744451,0.015291241504138024,0.021652952277363968,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.016936,3.320415,3.320415,22,22
2000442637419_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.442637,2000.442767,0.044127,8,0,2343.0,"0.015291241504138024,0.015291241504138024,0.01688166919744451,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.01549,3.320415,3.320415,22,22
2000459027395_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.459027,2000.459337,0.028897,8,0,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.015291,3.320415,3.320415,22,22
2000475419899_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.47542,2000.47573,0.018793,8,5,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.015291,1.658241,3.320415,22,22
2000491810954_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.491811,2000.492141,0.009913,8,0,2343.0,"0.016701610050220313,0.017322172210496523,0.018464570732823177,0.02122540374321343,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.01686,3.320415,3.320415,22,22
2000508201993_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.508202,2000.508492,0.009133,8,0,2343.0,"0.017322172210496523,0.017322172210496523,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.015799,3.320415,3.320415,22,22
2000524594256_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.524594,2000.524904,0.009454,8,0,2343.0,"0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024,0.015291241504138024",0.015291,3.320415,3.320415,22,22
