Experiment,Packets,Total Energy Estimate (J),Mean Packet Energy Estimate (J),Max Packet Energy Estimate (J),Mean Total Tx Power Across Route (W),Mean Tx Duration Estimate (s),Start Time (s),End Time (s)
mcs_adaptive_2Mbps_0.9inc_1.1dec,12201,0.9948236502336026,8.153623885202875e-05,0.0003293859550545053,0.13501708397236328,0.0005991902054724775,2000.008266,2100.007877
mcs_adaptive_3Mbps_0.9inc_1.3dec,18300,0.6758814393429851,3.693341198595547e-05,0.000431712305873266,0.05642767988182904,0.0006204708229839378,2000.005533,2100.000759
mcs_adaptive_4Mbps_0.9inc_1.5dec,21000,0.2555217190721546,1.2167700908197837e-05,0.0004318164928301071,0.010745369221243643,0.0012761575584415586,2000.004167,2102.438106
mcs_adaptive_2Mbps_0.9inc_1.1dec,12201,0.9948236502336026,8.153623885202875e-05,0.0003293859550545053,0.13501708397236328,0.0005991902054724775,2000.008266,2100.007877
mcs_adaptive_3Mbps_0.9inc_1.3dec,18300,0.6758814393429851,3.693341198595547e-05,0.000431712305873266,0.05642767988182904,0.0006204708229839378,2000.005533,2100.000759
mcs_adaptive_4Mbps_0.9inc_1.5dec,21000,0.2555217190721546,1.2167700908197837e-05,0.0004318164928301071,0.010745369221243643,0.0012761575584415586,2000.004167,2102.438106
mcs_adaptive_2Mbps_1.1inc_1.1dec,10592,0.11339230095547899,1.0705466479935705e-05,0.0002309462240831798,0.011221767053899318,0.001056230065000458,2000.008266,2100.340794
mcs_adaptive_3Mbps_1.1inc_1.3dec,16114,0.18626836374889538,1.1559411924345004e-05,0.00025292985477764064,0.011522537316192872,0.0010833957447128606,2000.005533,2102.67775
mcs_adaptive_4Mbps_1.1inc_1.5dec,22984,0.22481699617970813,9.781456499291164e-06,0.0003138033034862057,0.009407155303375637,0.001157149619234461,2000.004167,2100.165064
