Experiment,Packets,Total Energy Estimate (J),Mean Packet Energy Estimate (J),Max Packet Energy Estimate (J),Mean Total Tx Power Across Route (W),Mean Tx Duration Estimate (s),Start Time (s),End Time (s)
1000m_mcs0_1Mbps,610,0.04432159321595784,7.265834953435711e-05,0.00010447229187991988,0.042639876487298764,0.0017040000000000002,2000.016462,2010.000068
1000m_mcs0_2Mbps,1221,0.09999179763726744,8.189336415828619e-05,0.00010447229187991988,0.0480594860083839,0.001704,2000.008266,2010.008136
1000m_mcs0_3Mbps,1830,0.10001903683404834,5.465521138472587e-05,0.00010447229187991988,0.03207465456850109,0.0017040000000000004,2000.005533,2010.057267
1000m_mcs1_1Mbps,610,0.043740674423198796,7.17060236445882e-05,8.290887134701639e-05,0.08416239613401183,0.0008519815201192252,2000.016462,2010.00011
1000m_mcs1_2Mbps,1220,0.0902215402367223,7.395208216124779e-05,9.123861375674087e-05,0.08680459284642564,0.0008519353204172878,2000.008266,2010.000366
1000m_mcs1_3Mbps,1830,0.14505215130766952,7.92634706599287e-05,0.000109290330380271,0.09356606962041986,0.0008471459513164431,2000.005533,2010.16832
1000m_mcs_adaptive_1Mbps,610,0.05341520212248057,8.756590511882061e-05,0.0005690040673683751,0.043315837610244275,0.0017679898658718332,2000.016462,2010.007386
1000m_mcs_adaptive_2Mbps,1220,0.37382857755623544,0.0003064168668493733,0.0009085155878474227,0.19034915930921853,0.0016196350720317932,2000.008266,2010.00036
1000m_mcs_adaptive_3Mbps,1826,0.4955074168774291,0.00027136222172915065,0.0008137619810364213,0.15434556105370142,0.0017617223273258323,2000.005533,2009.981393
