Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,541,1007,4,4,0,0,1548,2130,0,0,764,1611,345,0,755,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,249,1514,495,715,1226,2147,1763,2133,1226,2073,574,1332,1620,0,530,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,456,1154,184,234,2104,2889,1610,1700,2104,2862,246,655,4980,0,220,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,95,573,328,376,1416,1825,668,668,1416,1825,220,587,2335,0,270,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,176,178,718,1085,0,0,718,1085,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
