Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.6-2001.6,122,60,0.4918032786885246,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2001.6-2002.6,122,28,0.22950819672131148,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2002.6-2003.6,122,30,0.2459016393442623,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2003.6-2004.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2004.6-2005.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2005.6-2006.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2006.6-2007.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2007.6-2008.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2008.6-2009.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2009.6-2010.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2010.6-2011.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2011.6-2012.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2012.6-2013.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2013.6-2014.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2014.6-2015.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2015.6-2016.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2016.6-2017.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2017.6-2018.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2018.6-2019.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2019.6-2020.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2020.6-2021.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_crossflow_1000m_mcs_adaptive_2Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
