Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,2,7,0,0,0,0,9,9,0,0,608,609,0,0,7,0,0
Node1,0,7,8,8,608,609,7,14,608,609,605,607,0,0,14,0,0
Node2,2,7,8,16,605,607,9,16,605,607,602,605,0,0,14,0,0
Node3,2,7,8,16,602,605,9,16,602,605,599,603,0,0,14,0,0
Node4,3,9,8,16,599,603,12,19,599,603,596,601,0,0,14,0,0
Node5,0,7,10,18,596,601,7,14,596,601,594,599,0,0,14,0,0
Node6,0,7,8,16,594,599,7,14,594,599,591,597,0,0,14,0,0
Node7,0,7,8,16,591,597,7,14,591,597,588,595,0,0,14,0,0
Node8,0,0,8,16,588,595,0,0,588,595,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
